"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Issuance Date"
"110","CAFR5232-C","U.S. Forest","Western Rivers Forestry","Blue Creek",70531,70531,"0%","2018","CCO-8","Compliance",2026-06-30,2019-02-26
"74","CAFR5106-C","U.S. Forest","The Conservation Fund","Big River / Salmon Creek",66028,66028,"0%","2018","CCO-8","Compliance",2026-04-15,2019-05-07
"43","CALS5134-D","Livestock","Alliance Dairies","Alliance Dairy",15864,15864,"0%","2018","CCO-8","Compliance",2026-11-05,2019-04-23
"20","CAOD5380-A","Ozone Depleting Substances",NA,"A-Gas Americas 2018-2",119844,56993,"52%","2018","CCO-8","Compliance",2026-01-02,2018-05-08
"8","CAOD6318-A","Ozone Depleting Substances",NA,"A-Gas 2019-1",138241,138241,"0%","2018","CCO-8","Compliance",2026-11-26,2019-05-21
"7","CAOD6312-A","Ozone Depleting Substances",NA,"A-Gas 2018-9",93703,93703,"0%","2018","CCO-8","Compliance",2026-08-27,2018-12-24
"6","CAOD6311-A","Ozone Depleting Substances",NA,"A-Gas 2018-8",128012,128012,"0%","2018","CCO-8","Compliance",2026-08-12,2018-12-24
"5","CAOD6305-A","Ozone Depleting Substances",NA,"A-Gas 2018-7",159218,0,"100%","2018","CCO-8","Compliance",2026-06-29,2018-10-09
"4","CAOD6303-A","Ozone Depleting Substances",NA,"A-Gas 2018-5",102700,26047,"75%","2018","CCO-8","Compliance",2026-05-11,2018-09-25
"3","CAOD5405-A","Ozone Depleting Substances",NA,"A-Gas 2018-4",110290,15000,"86%","2018","CCO-8","Compliance",2026-05-02,2018-08-07
"2","CAOD5389-A","Ozone Depleting Substances",NA,"A-Gas 2018-3",97831,97831,"0%","2018","CCO-8","Compliance",2026-02-12,2018-06-12
"1767","CALS5332-B","Livestock","Yippee Farms","Yippee Farms",6875,6875,"0%","2017","CCO-8","Compliance",2025-02-28,2019-04-09
"1761","CALS5030-B","Livestock","WTE Dairies","WTE-S&S Ag Enterprises, LLC",20416,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-09-12
"1755","CALS5146-B","Livestock","WTE Dairies","WTE-Dallmann, LLC",16880,0,"100%","2017","CCO-3","Compliance",2020-03-31,2018-03-27
"1744","CALS5346-A","Livestock","Woodcrest Dairy Digester","Woodcrest Dairy Digester",6193,6193,"0%","2017","CCO-3","Compliance",2020-05-31,2018-02-13
"1702","CALS5124-C","Livestock","Willow Point Dairy","Willow Point Dairy, LLC",17721,17721,"0%","2017","CCO-3","Compliance",2020-03-31,2018-01-23
"1666","CALS5138-C","Livestock","Willet Dairy","Willet Dairy",14212,14212,"0%","2017","CCO-8","Compliance",2025-11-29,2018-07-10
"1647","CALS5126-C","Livestock","Riverview LLP","West River Farm Anaerobic",17067,0,"100%","2017","CCO-8","Compliance",2025-10-31,2018-04-24
"1620","CALS5019-D","Livestock","WTE Dairies","Wakker Digester",13433,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-11-07
"1602","CAFR5159-B","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",19194,19194,"0%","2017","CCO-8","Compliance",2025-12-31,2019-01-08
"1594","CAFR5147-B","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",33378,33378,"0%","2017","CCO-8","Compliance",2025-12-31,2019-01-22
"1570","CAFR5160-B","U.S. Forest","The Nature Conservancy","Virginia Conservation Forestry",11791,11791,"0%","2017","CCO-8","Compliance",2025-12-31,2019-01-08
"1557","CALS5365-A","Livestock","Philip Verwey","Verwey Hanford Dairy Digester",49518,49518,"0%","2017","CCO-8","Compliance",2025-08-31,2018-04-24
"1553","CALS5176-C","Livestock","Dairy Energy Inc","Vanderhyde Dairy",8724,8724,"0%","2017","CCO-8","Compliance",2025-07-31,2018-06-26
"1545","CALS5101-C","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",2372,2372,"0%","2017","CCO-8","Compliance",2025-10-31,2018-12-11
"1542","CALS5345-A","Livestock","Maas Energy","Van Steyn Dairy Digester",5572,3310,"41%","2017","CCO-8","Compliance",2025-10-31,2018-03-27
"1523","CAFR5281-B","U.S. Forest","Usal Redwood","Usal Redwood Forest – IFM",235963,0,"100%","2017","CCO-8","Compliance",2025-12-31,2018-10-09
"1513","CAOD5387-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 9",129854,0,"100%","2017","CCO-3","Compliance",2020-11-04,2018-01-09
"1512","CAOD5385-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 8",138331,111655,"19%","2017","CCO-3","Compliance",2020-09-18,2017-12-12
"1511","CAOD5383-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 7",138972,0,"100%","2017","CCO-3","Compliance",2020-08-28,2017-10-24
"1510","CAOD5379-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 6",120918,77963,"36%","2017","CCO-3","Compliance",2020-05-21,2017-07-25
"1509","CAOD5370-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 5",121455,0,"100%","2017","CCO-3","Compliance",2020-03-24,2017-06-27
"1508","CAOD5363-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 4",91819,91819,"0%","2017","CCO-3","Compliance",2020-02-01,2017-04-11
"1491","CALS5169-B","Livestock","TMF Biofuels","TMF Biofuels Dairy Digester",54717,54717,"0%","2017","CCO-8","Compliance",2025-02-28,2018-06-26
"1457","CALS5107-C","Livestock","Ag Power Llc","The Dry Creek Dairy Biofactory",55174,55174,"0%","2017","CCO-8","Compliance",2025-12-31,2018-09-25
"1427","CALS5047-E","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",19801,19801,"0%","2017","CCO-8","Compliance",2025-12-31,2019-02-12
"1421","CALS5046-E","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",7879,7879,"0%","2017","CCO-8","Compliance",2025-12-31,2019-02-12
"1415","CALS5045-D","Livestock","ClimeCo Corporation","T&M Herrema Dairy",14483,0,"100%","2017","CCO-3","Compliance",2020-01-31,2018-10-26
"1401","CALS5044-E","Livestock","ClimeCo Corporation","T&M Bos Dairy",14687,14687,"0%","2017","CCO-8","Compliance",2025-12-31,2019-01-22
"1385","CALS5135-C","Livestock","Synergy Biogas","Synergy Biogas, LLC",7020,7020,"0%","2017","CCO-8","Compliance",2025-11-30,2018-07-24
"1368","CALS5145-B","Livestock","ClimeCo Corporation","Sunnyside Farms COP",25363,25363,"0%","2017","CCO-8","Compliance",2025-12-31,2019-02-12
"1360","CALS5042-E","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5735,0,"100%","2017","CCO-8","Compliance",2025-10-31,2018-05-22
"1350","CALS5077-D","Livestock","Solar & Renewables Management","Stotz Southern Generation",16401,0,"100%","2017","CCO-3","Compliance",2020-04-30,2017-10-10
"1344","CALS5175-C","Livestock","Storms Hog","Storms Hog Power, LLC",13603,13603,"0%","2017","CCO-8","Compliance",2025-10-31,2018-09-25
"1339","CALS5322-A","Livestock","Statz Bros Inc","Statz Bros. Home Farm",10926,0,"100%","2017","CCO-3","Compliance",2020-06-30,2017-12-12
"1335","CALS5323-A","Livestock","Statz Bros Inc","Statz B Farm Anaerobic",20009,0,"100%","2017","CCO-3","Compliance",2020-06-30,2017-12-26
"1329","CALS5284-B","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",6575,0,"100%","2017","CCO-3","Compliance",2020-03-31,2018-06-12
"1323","CAMM5178-C","Mine Methane","Solvay Chemicals Inc.","Solvay Chemicals, Inc. Waste",320214,320214,"0%","2017","CCO-8","Compliance",2025-12-31,2018-09-11
"1314","CALS5040-C","Livestock","3Degrees","Scenic View Dairy Methane",20421,0,"100%","2017","CCO-3","Compliance",2020-01-31,2017-06-13
"1291","CALS5223-C","Livestock",NA,"Rosendale Anaerobic Digester",29410,29410,"0%","2017","CCO-8","Compliance",2025-09-15,2018-05-08
"1281","CALS5081-C","Livestock","Roeslein Alternative Energy","Roeslein Alternative Energy of",29953,29953,"0%","2017","CCO-8","Compliance",2025-12-31,2019-03-26
"1255","CALS5132-D","Livestock","RES Agriculture","RES Ag – DM4-3 LLC",11750,11750,"0%","2017","CCO-8","Compliance",2025-12-31,2018-10-23
"1243","CALS5133-D","Livestock","RES Agriculture","RES Ag – DM2-1 LLC",6549,6549,"0%","2017","CCO-8","Compliance",2025-12-31,2018-10-23
"1207","CALS5197-C","Livestock","Pixley Biogas","Pixley Biogas, LLC",3657,3657,"0%","2017","CCO-8","Compliance",2025-12-31,2019-05-07
"1204","CAOD5331-A","Ozone Depleting Substances","Perfect Score Technologies","Perfect Cycle ODS-3",52930,0,"100%","2017","CCO-3","Compliance",2020-12-15,2018-05-08
"1195","CALS5144-C","Livestock","ClimeCo Corporation","Patterson Farms COP",3983,0,"100%","2017","CCO-8","Compliance",2025-06-30,2018-09-11
"1169","CALS5097-D","Livestock","Pagel's Dairy","Pagel's Ponderosa Dairy",2648,2648,"0%","2017","CCO-8","Compliance",2025-09-30,2019-01-08
"1159","CALS5131-C","Livestock","Pacific Rim","Pacific Rim Dairy Digester",5309,5309,"0%","2017","CCO-8","Compliance",2025-12-31,2018-06-26
"1154","CALS5245-B","Livestock","Open Sky Ranch Dairy","Open Sky Ranch Dairy Digester",22684,22684,"0%","2017","CCO-8","Compliance",2025-10-31,2018-04-24
"1144","CALS5032-E","Livestock","New Energy One","New Energy One Livestock",39743,0,"100%","2017","CCO-8","Compliance",2025-09-30,2018-06-12
"1133","CAFR5016-E","U.S. Forest","Edward Miller","Miller Forest",6281,5730,"9%","2017","CCO-8","Compliance",2025-06-30,2017-10-24
"1113","CAMM5100-D","Mine Methane","McElroy Green Marketing","Marshall County VAM",269823,82605,"69%","2017","CCO-8","Compliance",2025-12-31,2018-09-11
"1104","CALS5155-C","Livestock","Maple Leaf Dairy","Maple Leaf Dairy West",11914,11914,"0%","2017","CCO-8","Compliance",2025-07-31,2018-09-11
"1096","CALS5156-C","Livestock","Maple Leaf Dairy","Maple Leaf Dairy East",7128,7128,"0%","2017","CCO-8","Compliance",2025-07-31,2018-09-11
"1094","CAFR5378-A","U.S. Forest","California Timberlands","Lord Ellis Improved Forest",290915,290915,"0%","2017","CCO-8","Compliance",2025-03-16,2018-11-13
"1088","CALS5319-A","Livestock","Lamb Dairy Digesters","Lambs Dairy Digester",16113,0,"100%","2017","CCO-3","Compliance",2020-11-15,2018-07-10
"1087","CALS5349-B","Livestock","3Degrees","Kettle Butte Digester",24220,17759,"27%","2017","CCO-8","Compliance",2025-09-30,2018-03-27
"1079","CALS5025-D","Livestock","Ideal Family Farms","Ideal Family Farms Digester",4397,4397,"0%","2017","CCO-8","Compliance",2025-01-31,2019-03-26
"1053","CALS5289-B","Livestock","3Degrees","Homestead Green Energy",6721,0,"100%","2017","CCO-3","Compliance",2020-07-31,2018-07-10
"1047","CALS5154-C","Livestock","Holsum Dairies","Holsum Irish Dairy",13973,0,"100%","2017","CCO-3","Compliance",2020-03-31,2018-05-08
"1041","CALS5153-B","Livestock","Holsum Dairies","Holsum Elm Dairy",13510,0,"100%","2017","CCO-3","Compliance",2020-03-31,2018-04-24
"1032","CALS5263-C","Livestock","High Island Dairy","High Island Dairy",14815,14815,"0%","2017","CCO-8","Compliance",2025-11-30,2018-07-10
"1015","CAFR5137-B","U.S. Forest","The Conservation Fund","Gualala River Forest – ARB",68596,8596,"87%","2017","CCO-8","Compliance",2025-05-31,2018-08-21
"991","CALS5143-A","Livestock","Grotegut Dairy","Grotegut Dairy Farm, Inc.",4057,0,"100%","2017","CCO-8","Compliance",2025-07-31,2018-08-21
"983","CALS5355-A","Livestock","3Degrees","Greenwood Dairy Anaerobic",8240,0,"100%","2017","CCO-3","Compliance",2020-03-31,2017-11-21
"982","CAFR5220-A","U.S. Forest","Mendocino Redwood Company","Greenwood Creek",267975,267975,"0%","2017","CCO-8","Compliance",2025-06-03,2019-04-09
"980","CALS5180-B","Livestock","Green Valley","Green Valley Dairy Methane",16124,0,"100%","2017","CCO-3","Compliance",2020-04-30,2018-01-23
"962","CAFR5233-B","U.S. Forest","Green Diamond Resource Company","Green Diamond Resource",285782,285782,"0%","2017","CCO-8","Compliance",2025-12-15,2019-02-26
"958","CAFR5206-C","U.S. Forest","Milbury Plantation,","Green Assets – Milbury",302260,302260,"0%","2017","CCO-8","Compliance",2025-12-10,2018-08-07
"940","CAFR5105-C","U.S. Forest","Green Assets","Green Assets – Middleton",42424,0,"100%","2017","CCO-3","Compliance",2020-08-14,2018-05-22
"926","CAFR5208-A","U.S. Forest","Green Assets","Green Assets – HMWCF-I",729216,210418,"71%","2017","CCO-8","Compliance",2025-06-23,2018-09-25
"921","CALS5094-B","Livestock","George DeRuyter and Sons Dairy","George DeRuyter and Sons",10280,0,"100%","2017","CCO-8","Compliance",2025-03-31,2017-09-12
"917","CALS5181-C","Livestock","Gardeau Crest","Gardeau Crest Dairy",13612,13612,"0%","2017","CCO-3","Compliance",2020-11-26,2018-07-24
"903","CAFR5141-B","U.S. Forest","The Conservation Fund","Garcia River Forest – ARB",126781,76781,"39%","2017","CCO-8","Compliance",2025-02-14,2018-06-26
"879","CAFR5224-A","U.S. Forest","Forest Carbon Partners","Forest Carbon Partners – Eddie",222177,222177,"0%","2017","CCO-8","Compliance",2025-07-31,2019-03-12
"869","CALS5142-B","Livestock","Fiscalini Properties","Fiscalini Farms Anaerobic",3175,3175,"0%","2017","CCO-8","Compliance",2025-12-31,2018-12-24
"860","CAFR5297-A","U.S. Forest","Finite Carbon","Finite Carbon – Upper Hudson",1139633,1139633,"0%","2017","CCO-8","Compliance",2025-08-11,2019-02-26
"830","CAFR5198-B","U.S. Forest","Finite Carbon","Finite Carbon – The",242228,242228,"0%","2017","CCO-8","Compliance",2025-03-23,2019-02-12
"826","CAFR5204-B","U.S. Forest","Finite Carbon","Finite Carbon – Tennessee",12842,12842,"0%","2017","CCO-8","Compliance",2025-02-11,2018-12-24
"812","CAFR5294-B","U.S. Forest","Finite Carbon","Finite Carbon – Sealaska",293129,293129,"0%","2017","CCO-8","Compliance",2025-12-09,2018-12-11
"771","CAFR5313-A","U.S. Forest","MWF Adirondacks,","Finite Carbon – MWF",903035,903035,"0%","2017","CCO-8","Compliance",2025-01-02,2018-10-23
"751","CAFR5130-C","U.S. Forest","Finite Carbon","Finite Carbon – MWF",9129,9129,"0%","2017","CCO-8","Compliance",2025-04-30,2019-05-21
"734","CAFR5315-A","U.S. Forest","Finite Carbon","Finite Carbon – Molpus Ataya",2576141,2576141,"0%","2017","CCO-8","Compliance",2025-08-31,2019-03-12
"732","CAFR5235-A","U.S. Forest",NA,"Finite Carbon – Massachusetts",640002,60000,"91%","2017","CCO-3","Compliance",2020-02-02,2018-10-09
"725","CAFR5089-D","U.S. Forest","Finite Carbon","Finite Carbon – JTO Champion",25811,25811,"0%","2017","CCO-8","Compliance",2025-08-31,2018-11-13
"717","CAFR5225-B","U.S. Forest","Finite Carbon","Finite Carbon – Colville IFM",172632,172632,"0%","2017","CCO-8","Compliance",2025-07-07,2018-11-27
"709","CAFR5304-A","U.S. Forest","AMC Maine","Finite Carbon – AMC Silver",139152,139152,"0%","2017","CCO-8","Compliance",2025-08-11,2018-10-23
"708","CAFR5360-A","U.S. Forest","Ahtna, Incorporated","Finite Carbon – Ahtna Native",12502637,8061951,"36%","2017","CCO-8","Compliance",2025-07-02,2018-10-09
"702","CAFR5195-C","U.S. Forest","Finite Carbon","Finite Carbon –",107913,107913,"0%","2017","CCO-8","Compliance",2025-08-31,2018-11-27
"680","CALS5128-C","Livestock","Farm Power Lynden","Farm Power Lynden Anaerobic",9347,0,"100%","2017","CCO-3","Compliance",2020-07-31,2018-02-13
"661","CALS5120-B","Livestock","Fair Oaks Dairy","Fair Oaks Dairy Farm LLC",67868,67868,"0%","2017","CCO-8","Compliance",2024-08-31,2017-04-25
