"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Issuance Date"
"1506","CAOD5471-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 21",35887,35887,"0%","2019","CCO-8","Compliance",2027-03-18,2019-06-25
"1505","CAOD5468-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 20",83032,83032,"0%","2019","CCO-8","Compliance",2027-02-27,2019-05-21
"1503","CAOD5461-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 19",85284,85284,"0%","2019","CCO-8","Compliance",2027-01-30,2019-04-23
"1205","CAOD6327-A","Ozone Depleting Substances","Perfect Score Technologies","Perfect Cycle ODS-4",65097,65097,"0%","2019","CCO-8","Compliance",2027-02-23,2019-06-25
"1074","CAOD5445-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2019-1",54157,54157,"0%","2019","CCO-8","Compliance",2027-02-15,2019-05-07
"323","CAOD5442-A","Ozone Depleting Substances","A-Gas","Coolgas 2019-2",113564,113564,"0%","2019","CCO-8","Compliance",2027-01-07,2019-05-07
"9","CAOD5443-A","Ozone Depleting Substances",NA,"A-Gas 2019-3",114871,114871,"0%","2019","CCO-8","Compliance",2027-01-21,2019-06-25
"1768","CALS5332-C","Livestock","Yippee Farms","Yippee Farms",7280,7280,"0%","2018","CCO-8","Compliance",2026-02-28,2019-04-09
"1763","CALS5030-C","Livestock","WTE Dairies","WTE-S&S Ag Enterprises, LLC",11991,11991,"0%","2018","CCO-8","Compliance",2026-03-31,2018-09-25
"1757","CALS5146-C","Livestock","WTE Dairies","WTE-Dallmann, LLC",15998,15998,"0%","2018","CCO-8","Compliance",2026-03-31,2019-04-09
"1745","CALS5346-B","Livestock","Woodcrest Dairy Digester","Woodcrest Dairy Digester",11920,11920,"0%","2018","CCO-8","Compliance",2026-05-31,2018-11-13
"1706","CALS5124-D","Livestock","Willow Point Dairy","Willow Point Dairy, LLC",16220,16220,"0%","2018","CCO-8","Compliance",2026-03-31,2018-10-09
"1624","CALS5019-E","Livestock","WTE Dairies","Wakker Digester",9146,9146,"0%","2018","CCO-8","Compliance",2026-03-31,2018-11-27
"1502","CAOD5436-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 18",96146,96146,"0%","2018","CCO-8","Compliance",2026-11-23,2019-01-22
"1501","CAOD5435-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 17",105029,105029,"0%","2018","CCO-8","Compliance",2026-11-05,2019-01-08
"1500","CAOD5433-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 16",148592,148592,"0%","2018","CCO-8","Compliance",2026-10-18,2019-01-08
"1499","CAOD5431-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 15",52322,52322,"0%","2018","CCO-8","Compliance",2026-10-11,2019-01-08
"1498","CAOD5429-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 14",141087,41087,"71%","2018","CCO-8","Compliance",2026-09-07,2018-10-23
"1497","CAOD5426-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 13",140145,30914,"78%","2018","CCO-8","Compliance",2026-07-16,2018-09-25
"1496","CAOD5419-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 12",132126,114059,"14%","2018","CCO-8","Compliance",2026-05-03,2018-06-26
"1495","CAOD5404-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 11",118326,5588,"95%","2018","CCO-3","Compliance",2021-02-23,2018-05-22
"1494","CAOD5401-A","Ozone Depleting Substances","Tradewater LLC","Tradewater ODS 10",137262,0,"100%","2018","CCO-3","Compliance",2021-01-13,2018-04-24
"1413","CALS5045-E","Livestock","ClimeCo Corporation","T&M Herrema Dairy",6045,6045,"0%","2018","CCO-8","Compliance",2026-01-31,2019-02-12
"1376","CALS5325-A","Livestock","Swiss Family Farms","Swiss Valley Farms",6519,6519,"0%","2018","CCO-8","Compliance",2026-11-30,2019-05-21
"1346","CALS5077-E","Livestock","Solar & Renewables Management","Stotz Southern Generation",18887,18887,"0%","2018","CCO-8","Compliance",2026-04-30,2019-01-08
"1337","CALS5322-B","Livestock","Statz Bros Inc","Statz Bros. Home Farm",9196,9196,"0%","2018","CCO-8","Compliance",2026-06-30,2019-01-22
"1333","CALS5323-B","Livestock","Statz Bros Inc","Statz B Farm Anaerobic",15226,15226,"0%","2018","CCO-8","Compliance",2026-06-30,2019-01-22
"1331","CALS5284-C","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",2289,2289,"0%","2018","CCO-8","Compliance",2026-03-31,2019-03-26
"1316","CALS5040-D","Livestock","3Degrees","Scenic View Dairy Methane",15697,15697,"0%","2018","CCO-8","Compliance",2026-01-31,2019-04-23
"1090","CALS5319-B","Livestock","Lamb Dairy Digesters","Lambs Dairy Digester",13090,13090,"0%","2018","CCO-8","Compliance",2026-11-15,2019-05-21
"1085","CAOD5399-A","Ozone Depleting Substances","Irony, LLC","Irony",8330,8330,"0%","2018","CCO-8","Compliance",2026-04-30,2019-01-22
"1083","CALS5025-E","Livestock","Ideal Family Farms","Ideal Family Farms Digester",3715,3715,"0%","2018","CCO-8","Compliance",2026-01-31,2019-03-26
"1073","CAOD5432-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2018-1",21967,21967,"0%","2018","CCO-8","Compliance",2026-11-25,2019-02-12
"1057","CALS5289-C","Livestock","3Degrees","Homestead Green Energy",5491,5491,"0%","2018","CCO-8","Compliance",2026-07-31,2019-01-22
"1043","CALS5154-D","Livestock","Holsum Dairies","Holsum Irish Dairy",9087,9087,"0%","2018","CCO-8","Compliance",2026-03-31,2019-04-23
"1039","CALS5153-C","Livestock","Holsum Dairies","Holsum Elm Dairy",13189,13189,"0%","2018","CCO-8","Compliance",2026-03-31,2019-04-09
"1013","CAFR5137-C","U.S. Forest","The Conservation Fund","Gualala River Forest – ARB",77637,77637,"0%","2018","CCO-8","Compliance",2026-05-31,2019-02-26
"985","CALS5355-B","Livestock","3Degrees","Greenwood Dairy Anaerobic",7495,7495,"0%","2018","CCO-8","Compliance",2026-03-31,2018-10-23
"981","CALS5180-C","Livestock","Green Valley","Green Valley Dairy Methane",19940,19940,"0%","2018","CCO-8","Compliance",2026-04-30,2018-10-09
"950","CAFR5105-D","U.S. Forest","Green Assets","Green Assets – Middleton",42846,42846,"0%","2018","CCO-8","Compliance",2026-08-14,2019-06-25
"927","CAFR5209-A","U.S Forest","Green Assets","Green Assets – HMWCF-II",548909,548909,"0%","2018","CCO-8","Compliance",2026-06-24,2019-05-07
"925","CAFR5237-A","U.S. Forest","Green Assets","Green Assets – BJT Avoided",243527,243527,"0%","2018","CCO-8","Compliance",2026-05-13,2019-04-09
"923","CALS5388-A","Livestock","GJ TeVelde","GJ TeVelde Ranch Dairy",27942,27942,"0%","2018","CCO-8","Compliance",2026-07-31,2019-02-12
"913","CALS5181-D","Livestock","Gardeau Crest","Gardeau Crest Dairy",13636,13636,"0%","2018","CCO-8","Compliance",2026-11-26,2019-06-25
"905","CAFR5141-C","U.S. Forest","The Conservation Fund","Garcia River Forest – ARB",140308,140308,"0%","2018","CCO-8","Compliance",2026-02-14,2019-02-26
"824","CAFR5204-C","U.S. Forest","Finite Carbon","Finite Carbon – Tennessee",12842,12842,"0%","2018","CCO-8","Compliance",2026-02-11,2018-12-24
"775","CAFR5130-D","U.S. Forest","Finite Carbon","Finite Carbon – MWF",9129,9129,"0%","2018","CCO-8","Compliance",2026-04-30,2019-05-21
"759","CAFR5313-B","U.S. Forest","MWF Adirondacks,","Finite Carbon – MWF",21450,21450,"0%","2018","CCO-8","Compliance",2026-01-02,2019-02-26
"730","CAFR5235-B","U.S. Forest",NA,"Finite Carbon – Massachusetts",15721,15721,"0%","2018","CCO-8","Compliance",2026-02-02,2019-03-26
"689","CALS5128-D","Livestock","Farm Power Lynden","Farm Power Lynden Anaerobic",9600,9600,"0%","2018","CCO-8","Compliance",2026-07-31,2019-02-26
"573","CAMM5367-B","Mine Methane","Vessels Coal Inc","Elk Creek Permit Area",189550,189550,"0%","2018","CCO-8","Compliance",2026-01-31,2018-06-26
"552","CALS5139-D","Livestock","Edaleen Cow Power","Edaleen Cow Power, LLC",7390,7390,"0%","2018","CCO-8","Compliance",2026-08-31,2019-03-26
"398","CALS5020-E","Livestock","WTE Dairies","Deer Run Digester",6845,6845,"0%","2018","CCO-8","Compliance",2026-03-31,2018-10-23
"388","CALS5021-E","Livestock","WTE Dairies","Dairyland Digester",26920,26920,"0%","2018","CCO-8","Compliance",2026-03-31,2018-10-09
"371","CALS5074-E","Livestock","CSE","CSE Arizona Facility",13633,13633,"0%","2018","CCO-8","Compliance",2026-03-31,2018-11-13
"332","CAMM5244-C","Mine Methane","Keyrock Energy Inc","Corinth Abandoned Mine",195079,195079,"0%","2018","CCO-8","Compliance",2026-12-31,2019-06-25
"322","CAOD6308-A","Ozone Depleting Substances","A-Gas","Coolgas 2018-6",60855,34619,"43%","2018","CCO-8","Compliance",2026-05-07,2018-09-25
"308","CAOD6309-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 29",97696,97696,"0%","2018","CCO-8","Compliance",2026-08-24,2019-06-25
"307","CAOD6302-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 28",58745,58745,"0%","2018","CCO-8","Compliance",2026-08-10,2019-01-22
"306","CAOD6301-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 27",50473,50473,"0%","2018","CCO-8","Compliance",2026-06-02,2019-01-22
"305","CAOD6300-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 26",123703,123703,"0%","2018","CCO-8","Compliance",2026-05-16,2019-01-22
"304","CAOD5330-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 25",71572,1118,"98%","2018","CCO-3","Compliance",2021-01-26,2018-09-11
"303","CAOD5329-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 24",56727,7620,"87%","2018","CCO-3","Compliance",2021-04-24,2018-09-25
"296","CALS5390-A","Livestock","3Degrees","Clean Fuel Partners Dane",17208,17208,"0%","2018","CCO-8","Compliance",2026-03-31,2019-05-21
"294","CALS5123-D","Livestock","Central Sands Dairy","Central Sands Dairy, LLC",15002,15002,"0%","2018","CCO-8","Compliance",2026-03-31,2018-10-23
"275","CAMM5172-A","Mine Methane","Vessels Cambria","Cambria 33 Abandoned Mine",22118,22118,"0%","2018","CCO-8","Compliance",2026-12-31,2019-06-11
"271","CALS5183-B","Livestock","ABEC Bidart-Old","CalBio ORRD Project",45371,45371,"0%","2018","CCO-8","Compliance",2026-08-25,2019-05-21
"263","CAFR5055-E","U.S. Forest",NA,"Buckeye Forest Project",95801,95801,"0%","2018","CCO-8","Compliance",2026-05-31,2019-05-21
"254","CAFR5096-E","U.S. Forest","Coastal Forestlands,","Brushy Mountain",66289,66289,"0%","2018","CCO-8","Compliance",2026-09-30,2019-03-12
"236","CALS5041-E","Livestock","Brook View Dairy","Brook View Dairy Methane",16761,0,"100%","2018","CCO-8","Compliance",2026-01-31,2018-06-26
"216","CALS5122-D","Livestock","Bridgewater Dairy","Bridgewater Dairy LLC",12622,12622,"0%","2018","CCO-8","Compliance",2026-03-31,2019-02-12
"193","CAMM5403-A","Mine Methane","Global Carbon","Bluesource GCS Bear Canyon",59904,59904,"0%","2018","CCO-8","Compliance",2026-11-30,2019-06-11
