"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"829","CALS0060-B","Livestock","Environmental Credit","Windy Ridge Dairy",18165,644,96.45%,"2011","CCO-0","Compliance",2017-08-26,2014-08-26,2014-08-26,"CAR488"
"828","CAOD0074-A","Ozone Depleting Substances","Reclamation","RemTec International ODS",41583,30000,27.86%,"2011","CCO-8","Early Action",2022-08-26,2014-08-26,2014-08-26,"CAR883"
"827","CAOD0074-C","Ozone Depleting Substances","Reclamation","RemTec International ODS",76344,76344,0.00%,"2011","CCO-8","Early Action",2022-08-26,2014-08-26,2014-08-26,"CAR883"
"826","CAOD0074-B","Ozone Depleting Substances","Reclamation","RemTec International ODS",42696,42696,0.00%,"2011","CCO-8","Early Action",2022-08-26,2014-08-26,2014-08-26,"CAR883"
"825","CAFR0058-F","U.S. Forest","The Nature","Virginia Conservation Forestry",5239,5239,0.00%,"2011","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
"824","CAFR0080-C","U.S. Forest","Heartwood Forestland"," The Forestland",38469,4889,87.29%,"2011","CCO-0","Early Action",2017-11-12,2014-11-12,2014-11-12,"CAR645"
"823","CAOD0017-F","Ozone Depleting Substances","EOS Climate, Inc.","EOS:CAR2011 Domestic",67022,0,100.00%,"2011","CCO-0","Early Action",2017-11-25,2014-11-25,2014-11-25,"CAR804"
"822","CAOD0005-C","Ozone Depleting Substances","Environmental Credit","ECC:ODS:PA:001",109653,30120,72.53%,"2011","CCO-8","Early Action",2022-11-25,2014-11-25,2014-11-25,"CAR784"
"821","CAOD0017-D","Ozone Depleting Substances","EOS Climate, Inc.","EOS:CAR2011 Domestic",127688,70000,45.18%,"2011","CCO-8","Early Action",2022-11-25,2014-11-25,2014-11-25,"CAR804"
"820","CAOD0017-E","Ozone Depleting Substances","EOS Climate, Inc.","EOS:CAR2011 Domestic",117427,66142,43.67%,"2011","CCO-8","Early Action",2022-11-25,2014-11-25,2014-11-25,"CAR804"
"819","CAOD0068-B","Ozone Depleting Substances","Pure Chem","Pure Chem Domestic ODS",70737,20000,71.73%,"2011","CCO-8","Early Action",2022-11-25,2014-11-25,2014-11-25,"CAR833"
"818","CAOD0077-A","Ozone Depleting Substances","Pure Chem","Pure Chem Domestic ODS",55730,55730,0.00%,"2011","CCO-8","Compliance",2022-11-25,2014-11-25,2014-11-25,"CAR805"
"817","CAOD0016-G","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",23118,0,100.00%,"2011","CCO-8","Compliance",2023-01-13,2015-01-13,2015-01-13,"CAR604"
"816","CAOD0017-G","Ozone Depleting Substances","EOS Climate, Inc.","EOS:CAR2011 Domestic",63474,38060,40.04%,"2011","CCO-8","Early Action",2023-01-13,2015-01-13,2015-01-13,"CAR804"
"815","CAOD0069-A","Ozone Depleting Substances","Environmental Credit","ECC:ODS:CA:002",27951,7951,71.55%,"2011","CCO-8","Early Action",2023-01-13,2015-01-13,2015-01-13,"CAR786"
"814","CALS0034-B","Livestock","Origin Climate Inc.","Green Valley Dairy",14566,0,100.00%,"2011","CCO-0","Early Action",2018-02-10,2015-02-10,2015-02-10,"CAR504"
"813","CAFR0063-F","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",38028,17516,53.94%,"2011","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"812","CAFR0063-E","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",5795,1378,76.22%,"2011","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"811","CAMM0095-B","Mine Methane","Biothermica Coal","Vamox® Demonstration Project",28222,28222,0.00%,"2011","CCO-0","Compliance",2018-02-24,2015-02-24,2015-02-24,"CAR577"
