"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"876","CALS0014-E","Livestock","Camco International","West River Farm Anaerobic",19942,0,100.00%,"2010","CCO-0","Early Action",2018-12-22,2015-12-22,2015-12-22,"CAR450"
"875","CAFR0116-D","U.S. Forest","New England Forestry"," NEFF",3082,2685,12.88%,"2010","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"874","CAFR0040-A2","U.S. Forest","The Conservation","Garcia River Forest",20190,0,100.00%,"2010","CCO-8","Early Action",2024-05-24,2016-05-24,2016-05-24,"CAR102"
"873","CAOD0016-C3","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",75000,0,100.00%,"2010","CCO-0","Compliance",2019-06-21,2016-06-21,2016-06-21,"CAR604"
"872","CALS0083-F","Livestock","Camco International","The Dry Creek Dairy",13601,0,100.00%,"2010","CCO-0","Compliance",2019-07-26,2016-07-26,2016-07-26,"CAR402"
"871","CAFR0049-I","U.S. Forest","Fred M. van Eck","The Van Eck Forest",18851,0,100.00%,"2010","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"870","CAFR0123-D","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",234225,0,100.00%,"2010","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"869","CAFR0040-A3","U.S. Forest","The Conservation","Garcia River Forest",48456,0,100.00%,"2010","CCO-8","Early Action",2024-08-09,2016-08-09,2016-08-09,"CAR102"
"868","CAFR0041-E","U.S. Forest","The Conservation","Big River / Salmon Creek",1089,1089,0.00%,"2010","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR408"
"867","CAFR0102-D","U.S. Forest","The Nature","Virginia Conservation Forestry",24024,0,100.00%,"2010","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
"866","CAFR0040-A4","U.S. Forest","The Conservation","Garcia River Forest",52500,20000,61.90%,"2010","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR102"
"865","CAFR0105-E","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2010","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"864","CAFR0106-C","U.S. Forest","Northeast Wilderness","Howland Research Forest",834,0,100.00%,"2010","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR681"
"863","CAFR0042-D","U.S. Forest","The Conservation","Gualala River Forest",18537,18537,0.00%,"2010",NA,"Early Action",NA,NA,NA,"CAR660"
"950","CAFR0001-F","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",114795,114795,0.00%,"2009","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"949","CAFR0047-D","U.S. Forest","Potlatch Forest"," Potlatch Moro",37114,37114,0.00%,"2009","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"948","CALS0003-B","Livestock","Environmental Credit","Coyne Farms",333,95,71.47%,"2009","CCO-8","Early Action",2022-02-25,2014-02-25,2014-02-25,"CAR813"
"947","CAFR0030-C","U.S. Forest","National Audubon","Blue Source :  Francis Beidler",8190,8190,0.00%,"2009","CCO-0","Early Action",2017-03-25,2014-03-25,2014-03-25,"CAR683"
"946","CALS0007-A","Livestock","Environmental Credit","Fessenden Dairy",697,0,100.00%,"2009","CCO-8","Early Action",2022-03-25,2014-03-25,2014-03-25,"CAR831"
"945","CALS0010-A","Livestock","Environmental Credit","Will:O:Crest Farms Livestock",439,0,100.00%,"2009","CCO-8","Compliance",2022-05-13,2014-05-13,2014-05-13,"CAR885"
"944","CAFR0042-C","U.S. Forest","The Conservation","Gualala River Forest",80882,80882,0.00%,"2009","CCO-8","Early Action",2022-05-27,2014-05-27,2014-05-27,"CAR660"
"943","CAFR0058-D","U.S. Forest","The Nature","Virginia Conservation Forestry",8693,8693,0.00%,"2009","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
"942","CAFR0080-A","U.S. Forest","Heartwood Forestland"," The Forestland",21865,21865,0.00%,"2009","CCO-0","Early Action",2017-11-12,2014-11-12,2014-11-12,"CAR645"
"941","CALS0035-A","Livestock","Origin Climate Inc.","Scenic View Dairy",10000,0,100.00%,"2009","CCO-0","Compliance",2017-12-23,2014-12-23,2014-12-23,"CAR418"
"940","CAFR0063-C","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",40472,13911,65.63%,"2009","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"939","CAFR0073-C","U.S. Forest","Bascom Pacific, LLC","McCloud River",16192,0,100.00%,"2009","CCO-8","Compliance",2023-08-11,2015-08-11,2015-08-11,"CAR429"
"938","CALS0008-A","Livestock","Environmental Credit","Miedema Dairy",869,0,100.00%,"2009","CCO-8","Compliance",2023-09-08,2015-09-08,2015-09-08,"CAR836"
"937","CAFR0026-E","U.S. Forest","David Dicktel","Blue Source :  Pungo River",13946,4968,64.38%,"2009","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"936","CAFR0027-E","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4594,2297,50.00%,"2009","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"935","CAFR0028-E","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4824,1434,70.27%,"2009","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"934","CAFR0031-E","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2009","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"933","CALS0117-A","Livestock","Aurora Ridge Dairy,","Aurora Ridge",201,0,100.00%,"2009","CCO-0","Early Action",2018-12-08,2015-12-08,2015-12-08,"CAR607"
"932","CAMM0121-C","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",884871,440000,50.28%,"2009","CCO-8","Compliance",2024-01-12,2016-01-12,2016-01-12,"13"
"931","CAFR0049-D","U.S. Forest","Fred M. van Eck","The Van Eck Forest",24228,3934,83.76%,"2009","CCO-0","Compliance",2019-02-09,2016-02-09,2016-02-09,"CAR101"
"930","CAFR0057-E","U.S. Forest","The Nature","Virginia Conservation Forestry",14559,14559,0.00%,"2009","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"929","CAFR0116-C","U.S. Forest","New England Forestry"," NEFF",3082,2685,12.88%,"2009","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"928","CALS0083-E","Livestock","Camco International","The Dry Creek Dairy",7211,0,100.00%,"2009","CCO-0","Compliance",2019-07-26,2016-07-26,2016-07-26,"CAR402"
"927","CAFR0049-D2","U.S. Forest","Fred M. van Eck","The Van Eck Forest",16875,15245,9.66%,"2009","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"926","CAFR0123-C","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",226288,0,100.00%,"2009","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"925","CAFR0041-D","U.S. Forest","The Conservation","Big River / Salmon Creek",11289,11289,0.00%,"2009","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR408"
"924","CAFR0102-C","U.S. Forest","The Nature","Virginia Conservation Forestry",22619,0,100.00%,"2009","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
"923","CAFR0040-F","U.S. Forest","The Conservation","Garcia River Forest",51864,81,99.84%,"2009","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR102"
"922","CAFR0105-D","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2009","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"921","CAFR0106-B","U.S. Forest","Northeast Wilderness","Howland Research Forest",834,0,100.00%,"2009","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR681"
"981","CAFR0001-E","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",107032,107032,0.00%,"2008","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"980","CAFR0047-C","U.S. Forest","Potlatch Forest"," Potlatch Moro",23726,23726,0.00%,"2008","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"979","CALS0003-A","Livestock","Environmental Credit","Coyne Farms",7,0,100.00%,"2008","CCO-8","Early Action",2022-02-25,2014-02-25,2014-02-25,"CAR813"
"978","CAFR0030-B","U.S. Forest","National Audubon","Blue Source :  Francis Beidler",8190,8190,0.00%,"2008","CCO-0","Early Action",2017-03-25,2014-03-25,2014-03-25,"CAR683"
"977","CAFR0042-B","U.S. Forest","The Conservation","Gualala River Forest",75734,75734,0.00%,"2008","CCO-8","Early Action",2022-05-27,2014-05-27,2014-05-27,"CAR660"
"976","CAFR0058-C","U.S. Forest","The Nature","Virginia Conservation Forestry",10155,10155,0.00%,"2008","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
"975","CAFR0063-B","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",36089,36089,0.00%,"2008","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"974","CAFR0073-B","U.S. Forest","Bascom Pacific, LLC","McCloud River",57418,0,100.00%,"2008","CCO-8","Compliance",2023-08-11,2015-08-11,2015-08-11,"CAR429"
"973","CAFR0026-D","U.S. Forest","David Dicktel","Blue Source :  Pungo River",10621,1353,87.26%,"2008","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"972","CAFR0041-B","U.S. Forest","The Conservation","Big River / Salmon Creek",104226,6266,93.99%,"2008","CCO-0","Early Action",2018-10-13,2015-10-13,2015-10-13,"CAR408"
"971","CAFR0026-D2","U.S. Forest","David Dicktel","Blue Source :  Pungo River",667,667,0.00%,"2008","CCO-8","Compliance",2023-10-13,2015-10-13,2015-10-13,"CAR659"
"970","CAFR0103-B","U.S. Forest","MWF Brimstone"," MWF",121802,0,100.00%,"2008","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"969","CAFR0103-C","U.S. Forest","MWF Brimstone"," MWF",8927,0,100.00%,"2008","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"968","CAFR0027-D","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4594,1990,56.68%,"2008","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"967","CAFR0028-D","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4824,2090,56.67%,"2008","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"966","CAFR0031-D","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2008","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"965","CAMM0121-B","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",47718,39068,18.13%,"2008","CCO-8","Compliance",2024-01-12,2016-01-12,2016-01-12,"13"
"964","CAFR0049-C","U.S. Forest","Fred M. van Eck","The Van Eck Forest",556,556,0.00%,"2008","CCO-0","Compliance",2019-02-09,2016-02-09,2016-02-09,"CAR101"
"963","CAFR0057-D","U.S. Forest","The Nature","Virginia Conservation Forestry",10196,10196,0.00%,"2008","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"962","CAFR0116-B","U.S. Forest","New England Forestry"," NEFF",3082,2685,12.88%,"2008","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"961","CAFR0041-B2","U.S. Forest","The Conservation","Big River / Salmon Creek",36342,9609,73.56%,"2008","CCO-0","Early Action",2019-04-12,2016-04-12,2016-04-12,"CAR408"
"960","CAFR0049-C2","U.S. Forest","Fred M. van Eck","The Van Eck Forest",808,0,100.00%,"2008","CCO-0","Compliance",2019-06-21,2016-06-21,2016-06-21,"CAR101"
"959","CAFR0041-B3","U.S. Forest","The Conservation","Big River / Salmon Creek",20190,20190,0.00%,"2008","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR408"
"958","CAFR0049-C3","U.S. Forest","Fred M. van Eck","The Van Eck Forest",20406,20406,0.00%,"2008","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"957","CAFR0123-B","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",218569,193847,11.31%,"2008","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"956","CAMM0121-B2","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",20734,0,100.00%,"2008","CCO-8","Compliance",2024-08-23,2016-08-23,2016-08-23,"13"
"955","CAFR0041-B4","U.S. Forest","The Conservation","Big River / Salmon Creek",2375,2375,0.00%,"2008","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR408"
"954","CAFR0102-B","U.S. Forest","The Nature","Virginia Conservation Forestry",21174,0,100.00%,"2008","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
"953","CAFR0040-E","U.S. Forest","The Conservation","Garcia River Forest",41870,81,99.81%,"2008","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR102"
"952","CAFR0105-C","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2008","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"951","CAFR0106-A","U.S. Forest","Northeast Wilderness","Howland Research Forest",35299,0,100.00%,"2008","CCO-8","Early Action",2024-08-31,2016-08-31,2016-08-31,"CAR681"
"1001","CAFR0001-D","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",99681,99681,0.00%,"2007","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"1000","CAFR0047-B","U.S. Forest","Potlatch Forest"," Potlatch Moro",75698,75012,0.91%,"2007","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"999","CAFR0030-A","U.S. Forest","National Audubon","Blue Source :  Francis Beidler",434528,426928,1.75%,"2007","CCO-0","Early Action",2017-03-25,2014-03-25,2014-03-25,"CAR683"
"998","CAFR0042-A","U.S. Forest","The Conservation","Gualala River Forest",5426,5426,0.00%,"2007","CCO-8","Early Action",2022-05-27,2014-05-27,2014-05-27,"CAR660"
"997","CAFR0063-A","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",271,0,100.00%,"2007","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"996","CAFR0073-A","U.S. Forest","Bascom Pacific, LLC","McCloud River",71773,71773,0.00%,"2007","CCO-8","Compliance",2023-08-11,2015-08-11,2015-08-11,"CAR429"
"995","CAFR0026-C","U.S. Forest","David Dicktel","Blue Source :  Pungo River",13801,3276,76.26%,"2007","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"994","CAFR0103-A","U.S. Forest","MWF Brimstone"," MWF",40581,0,100.00%,"2007","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"993","CAFR0027-C","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4594,2297,50.00%,"2007","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"992","CAFR0028-C","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4824,2412,50.00%,"2007","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"991","CAFR0031-C","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2007","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"990","CAFR0049-B","U.S. Forest","Fred M. van Eck","The Van Eck Forest",78349,30456,61.13%,"2007","CCO-0","Compliance",2019-02-09,2016-02-09,2016-02-09,"CAR101"
"989","CAFR0057-C","U.S. Forest","The Nature","Virginia Conservation Forestry",11031,11031,0.00%,"2007","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"988","CAFR0116-A","U.S. Forest","New England Forestry"," NEFF",37275,32485,12.85%,"2007","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"987","CAFR0049-B2","U.S. Forest","Fred M. van Eck","The Van Eck Forest",14647,14349,2.03%,"2007","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"986","CAFR0123-A","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",1455570,138848,90.46%,"2007","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"985","CAMM0121-D","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",29266,0,100.00%,"2007","CCO-8","Compliance",2024-08-23,2016-08-23,2016-08-23,"13"
"984","CAFR0102-A","U.S. Forest","The Nature","Virginia Conservation Forestry",17851,0,100.00%,"2007","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
"983","CALS0126-A","Livestock","Grey K Trading","Cottonwood Dairy Livestock",16834,0,100.00%,"2007","CCO-0","Compliance",2019-08-31,2016-08-31,2016-08-31,"CAR393"
"982","CAFR0105-B","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",612,0,100.00%,"2007","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"1014","CAFR0001-C","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",92721,92721,0.00%,"2006","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"1013","CAFR0047-A","U.S. Forest","Potlatch Forest"," Potlatch Moro",6257,6257,0.00%,"2006","CCO-0","Compliance",2016-12-24,2013-12-24,2013-12-24,"CAR648"
"1012","CAFR0058-B","U.S. Forest","The Nature","Virginia Conservation Forestry",3639,3639,0.00%,"2006","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
"1011","CAFR0026-B","U.S. Forest","David Dicktel","Blue Source :  Pungo River",13801,3276,76.26%,"2006","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"1010","CAFR0027-B","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4594,2297,50.00%,"2006","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"1009","CAFR0028-B","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4824,2412,50.00%,"2006","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"1008","CAFR0031-B","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2006","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"1007","CAMM0121-A","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",80314,0,100.00%,"2006","CCO-8","Compliance",2024-01-12,2016-01-12,2016-01-12,"13"
"1006","CAFR0049-A","U.S. Forest","Fred M. van Eck","The Van Eck Forest",39974,10726,73.17%,"2006","CCO-0","Compliance",2019-02-09,2016-02-09,2016-02-09,"CAR101"
"1005","CAFR0057-B","U.S. Forest","The Nature","Virginia Conservation Forestry",21515,21515,0.00%,"2006","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"1004","CAFR0049-A2","U.S. Forest","Fred M. van Eck","The Van Eck Forest",289,0,100.00%,"2006","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"1003","CAMM0121-A2","Mine Methane","Peabody Natural Gas,","Coal Mine Methane Capture",9821,0,100.00%,"2006","CCO-8","Compliance",2024-08-23,2016-08-23,2016-08-23,"13"
"1002","CAFR0105-A","U.S. Forest","Northeast Wilderness","Alder Stream Preserve",25282,0,100.00%,"2006","CCO-8","Compliance",2024-08-31,2016-08-31,2016-08-31,"CAR655"
"1021","CAFR0001-B","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",86131,86131,0.00%,"2005","CCO-8","Early Action",2021-11-12,2013-11-12,2013-11-12,"CAR661"
"1020","CAFR0058-A","U.S. Forest","The Nature","Virginia Conservation Forestry",6687,6687,0.00%,"2005","CCO-0","Compliance",2017-09-23,2014-09-23,2014-09-23,"CAR686"
"1019","CAFR0026-A","U.S. Forest","David Dicktel","Blue Source :  Pungo River",13801,3276,76.26%,"2005","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"1018","CAFR0027-A","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4594,2297,50.00%,"2005","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"1017","CAFR0028-A","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4824,0,100.00%,"2005","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"1016","CAFR0031-A","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2005","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"1015","CAFR0057-A","U.S. Forest","The Nature","Virginia Conservation Forestry",9483,9483,0.00%,"2005","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"1022","CAFR0001-A","U.S. Forest","Coastal Ridges LLC, a","Willits Woods",0,0,NaN,"2004",NA,"Early Action",NA,NA,2013-12-10,"CAR661"
