,Offset.Project Operator,Project.Name,Project Type,tot,Project Owner ,Website,City,State
53,Camco International,Bridgewater Dairy LLC,Livestock,52123,Camco International,https://www.camco.energy/,Montpelier,OH
54,Camco International,Central Sands Dairy LLC,Livestock,52407,Camco International,https://www.camco.energy/,Nekoosa ,WI
55,Camco International,District 45 Dairy,Livestock,57676,Camco International,https://www.camco.energy/,Hancock,MN
56,Camco International,Double A Dairy,Livestock,131435,Camco International,https://www.camco.energy/,Jerome ,ID
57,Camco International,"Edaleen Cow Power, LLC",Livestock,16901,Camco International,https://www.camco.energy/,Bellingham ,WA
58,Camco International,"Fair Oaks Dairy Farm, LLC",Livestock,171205,Camco International,https://www.camco.energy/,Fair Oaks,IN
59,Camco International,Gardeau Crest Dairy,Livestock,22054,Camco International,https://www.camco.energy/,Castile,NY
60,Camco International,Green Meadow Farm,Livestock,4565,Camco International,https://www.camco.energy/,Floral Park,NY
61,Camco International,Riverview Farm Anaerobic,Livestock,131206,Camco International,https://www.camco.energy/,Plainfield,NH
62,Camco International,"Storms Hog Power, LLC",Livestock,17339,Camco International,https://www.camco.energy/,Bladenboro,NC
63,Camco International,"Synergy Biogas, LLC",Livestock,14925,Camco International,https://www.camco.energy/,Covington,NY
64,Camco International,The Dry Creek Dairy,Livestock,116627,Camco International,https://www.camco.energy/,Hansen,ID
65,Camco International,Vanderhyde Dairy,Livestock,22251,Camco International,https://www.camco.energy/,Chatham,VA
66,Camco International,West River Farm Anaerobic,Livestock,95105,Camco International,https://www.camco.energy/,Martin,SD
67,Camco International,Willet Dairy,Livestock,27688,Camco International,https://www.camco.energy/,King Ferry,NY
68,Camco International,"Willow Point Dairy, LLC",Livestock,59212,Camco International,https://www.camco.energy/,Orleans ,MI
69,"Cargill, Inc",The B6 Dairy Farm,Livestock,46738,"Cargill, Inc",https://www.cargill.com/sustainability/priorities/climate-change,Hilmar,CA
70,Central Sands Dairy,"Central Sands Dairy, LLC",Livestock,61789,Central Sands Dairy,,Nekoosa ,WI
71,ClimeCo Corporation,ClimeCo ODS Destruction 16,Ozone Depleting Substances,245946,ClimeCo,https://climeco.com/,Bowling Green,OH
72,ClimeCo Corporation,ClimeCo ODS Destruction 18,Ozone Depleting Substances,226896,ClimeCo,https://climeco.com/,Bowling Green,OH
73,ClimeCo Corporation,ClimeCo ODS Destruction 20,Ozone Depleting Substances,72606,ClimeCo,https://climeco.com/,Bowling Green,OH
74,ClimeCo Corporation,ClimeCo ODS Destruction 21,Ozone Depleting Substances,140452,ClimeCo,https://climeco.com/,Bowling Green,OH
75,ClimeCo Corporation,ClimeCo ODS Destruction 22,Ozone Depleting Substances,53956,ClimeCo,https://climeco.com/,Bowling Green,OH
76,ClimeCo Corporation,ClimeCo ODS Destruction 23,Ozone Depleting Substances,44681,ClimeCo,https://climeco.com/,Bowling Green,OH
77,ClimeCo Corporation,ClimeCo ODS Destruction 24,Ozone Depleting Substances,56727,ClimeCo,https://climeco.com/,Bowling Green,OH
78,ClimeCo Corporation,ClimeCo ODS Destruction 25,Ozone Depleting Substances,71572,ClimeCo,https://climeco.com/,Bowling Green,OH
79,ClimeCo Corporation,ClimeCo ODS Destruction 26,Ozone Depleting Substances,123703,ClimeCo,https://climeco.com/,Bowling Green,OH
80,ClimeCo Corporation,ClimeCo ODS Destruction 27,Ozone Depleting Substances,50473,ClimeCo,https://climeco.com/,Bowling Green,OH
81,ClimeCo Corporation,ClimeCo ODS Destruction 28,Ozone Depleting Substances,58745,ClimeCo,https://climeco.com/,Bowling Green,OH
82,ClimeCo Corporation,ClimeCo ODS Destruction 29,Ozone Depleting Substances,97696,ClimeCo,https://climeco.com/,Bowling Green,OH
83,ClimeCo Corporation,ClimeCo ODS Destruction 30,Ozone Depleting Substances,140146,ClimeCo,https://climeco.com/,Bowling Green,OH
84,ClimeCo Corporation,Patterson Farms COP,Livestock,18283,ClimeCo,https://climeco.com/,Auburn,NY
85,ClimeCo Corporation,Spruce Haven Farm COP,Livestock,17820,ClimeCo,https://climeco.com/,Scipio Center,NY
86,ClimeCo Corporation,Sunnyside Farms COP,Livestock,76970,ClimeCo,https://climeco.com/,Scipio Center,NY
87,ClimeCo Corporation,Sunnyside Farms Inc,Livestock,34436,ClimeCo,https://climeco.com/,Scipio Center,NY
88,ClimeCo Corporation,T&M Bos Dairy,Livestock,51026,ClimeCo,https://climeco.com/,Fair Oaks,IN
89,ClimeCo Corporation,T&M Herrema Dairy,Livestock,64228,ClimeCo,https://climeco.com/,Fair Oaks,IN
90,ClimeCo Corporation,T&M Hidden View Dairy,Livestock,47709,ClimeCo,https://climeco.com/,Rensselaer,IN
91,ClimeCo Corporation,T&M Windy Ridge Dairy,Livestock,115802,ClimeCo,https://climeco.com/,Fair Oaks,IN
92,ClimeCo Corporation,Vander Haak Dairy COP,Livestock,9199,ClimeCo,https://climeco.com/,Lynden,WA
93,"Coastal Forestlands,",Brushy Mountain,U.S. Forest,1458494,Coastal Forestlands,,Mendocino,CA
94,Coastal Ridges LLC,Willits Woods,U.S. Forest,1150353,Coastal Ridges LLC,,Mendocino,CA
95,Coastal Ridges LLC,Willits Woods IFM,U.S. Forest,328088,Coastal Ridges LLC,,Mendocino,CA
96,"Congaree River,",Congaree River,U.S. Forest,94711,Congaree River,,Mendocino,CA
97,Cow Poo LLc,Cow Poo Digester,Livestock,7781,Cow Poo LLc,,Alma Center,WI
98,CSE,CSE Arizona Facility,Livestock,68814,Center for Sustainable Energy,https://energycenter.org/,Buckeye,AZ
99,CSE,CSE AZ Facility I,Livestock,21814,Center for Sustainable Energy,https://energycenter.org/,Maricopa,AZ
100,CSE,Linde,Livestock,2975,Center for Sustainable Energy,https://energycenter.org/,White,SD
101,Dairy Energy Inc,Vanderhyde Dairy,Livestock,26642,VanderHyde Dairy,https://www.vanderhydedairy.com/,Chatham,VA
102,David Dicktel,Blue Source – Pungo River,U.S. Forest,86679,Blue Source,http://www.bluesource.com/,Plymouth,NC
103,"ECC Windsor,",BMMC1,Mine Methane,36759,ECC Windsor,,Cameron ,WV
104,Eco Partners,Camp Shelby Forest Carbon,U.S. Forest,18683,Eco Partners,https://www.epcarbon.com/,Hattiesburg,MS
105,Edaleen Cow Power,"Edaleen Cow Power, LLC",Livestock,32952,Edaleen Cow Power,https://www.edaleendairy.com/,Lynden,WA
106,Edward Miller,Brush Creek,U.S. Forest,71587,Edward Miller Trust,,Point Arena,CA
